"","id","sampleA","sampleB","baseMeanA","baseMeanB","log2FC","pval","padj","sig"
"1","AT1G01010.Araport11.447","Control","Drought",72.5178496358236,57.0577287841336,0.301084612443639,0.350750891362733,0.999861575872975,"notDE"
"2","AT1G01020.Araport11.447","Control","Drought",425.852587716924,391.856573840052,0.130750784400597,0.563108324232518,0.999861575872975,"notDE"
"3","AT1G01030.Araport11.447","Control","Drought",221.997189442394,204.534846407844,0.107929385270169,0.651100828149931,0.999861575872975,"notDE"
"4","AT1G01040.Araport11.447","Control","Drought",804.286198144547,811.339020904301,-0.0134883963297706,0.93338148276336,0.999861575872975,"notDE"
"5","AT1G01050.Araport11.447","Control","Drought",623.301596625918,642.395121137073,-0.041080198273741,0.792221356328022,0.999861575872975,"notDE"
"6","AT1G01060.Araport11.447","Control","Drought",697.066695607884,488.303859694513,0.514356669303977,0.0148144427788192,0.999861575872975,"DE"
"7","AT1G01080.Araport11.447","Control","Drought",1867.21818773594,1673.81865809207,0.15732905841014,0.195218328436556,0.999861575872975,"notDE"
"8","AT1G01090.Araport11.447","Control","Drought",2824.13704164364,3181.8981729969,-0.17291344501948,0.291173297092457,0.999861575872975,"notDE"
"9","AT1G01100.Araport11.447","Control","Drought",11474.8774330451,12114.4058507683,-0.0777911253589208,0.523075416449397,0.999861575872975,"notDE"
"10","AT1G01110.Araport11.447","Control","Drought",51.7562893642902,45.6629392057003,0.129001771423374,0.748426681038955,0.999861575872975,"notDE"
"11","AT1G01120.Araport11.447","Control","Drought",439.990343756948,454.705158540477,-0.0408177531453016,0.870542114366169,0.999861575872975,"notDE"
"12","AT1G01130.Araport11.447","Control","Drought",31.1513478575523,35.7772103140589,-0.168968788115128,0.746133004858884,0.999861575872975,"notDE"
"13","AT1G01140.Araport11.447","Control","Drought",206.713546463775,205.538082842437,0.0234160655626088,0.922084918474692,0.999861575872975,"notDE"
"14","AT1G01150.Araport11.447","Control","Drought",6.58493181231129,9.30798017442515,-0.555056201828842,0.507922807762795,0.999861575872975,"notDE"
"15","AT1G01160.Araport11.447","Control","Drought",520.486515504885,582.739131880761,-0.170102281442306,0.340931006173101,0.999861575872975,"notDE"
"16","AT1G01170.Araport11.447","Control","Drought",519.613507911635,511.716516347996,0.0295075199057725,0.863745303639447,0.999861575872975,"notDE"
"17","AT1G01180.Araport11.447","Control","Drought",9.40329467944288,12.5204359534487,-0.41573502058203,0.571685046636841,0.999861575872975,"notDE"
"18","AT1G01190.Araport11.447","Control","Drought",6.18937635645159,3.91842383834143,0.816426755243389,0.522282293386149,0.999861575872975,"notDE"
